Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method
0.69,0.21087800390569342,0.07817833810370942,0.9333333333333333,0.04285714285714286,4.752380952380952,0.2171630859375,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,42,MonoRF
0.64,0.23995593188425257,0.16352460689842696,0.7333333333333333,0.2,4.066666666666666,0.039969444274902344,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,42,XGB-Mono
0.63,0.23205060064343005,0.1479017777351192,0.7666666666666667,0.2,4.233333333333333,0.011077404022216797,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,42,LGBM-Mono
0.7,0.21219238000084634,0.12056136422668913,0.8333333333333334,0.07142857142857142,4.30952380952381,0.004289388656616211,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,42,MonoScore
0.62,0.23704957923473852,0.1490548212826252,0.8333333333333334,0.18571428571428572,4.538095238095238,0.06687569618225098,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,42,XGB-Mono-Best
0.64,0.23290339192468373,0.15455602248011363,0.7333333333333333,0.2,4.066666666666666,0.026120901107788086,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,42,LGBM-Mono-Best
0.74,0.19697937355497142,0.07298985773786978,0.8,0.02857142857142857,4.057142857142857,0.0007627010345458984,537,0.2685,0.10367181082201907,0.3861147516648755,0.75,NA,,,,,german_real,43,CART
0.7,0.3,0.30000000000000004,0.7666666666666667,0.1,4.033333333333333,15.310861825942993,0,0.0,0.0,0.0,0.0,FEASIBLE,107.0,7.0,0.9345794392523364,15.004391900000002,german_real,43,ODT
0.7,0.3,0.3,0.8333333333333334,0.07142857142857142,4.30952380952381,15.350465059280396,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,10.0,0.908256880733945,15.022650800000001,german_real,43,EMDT
0.7,0.20732373114095878,0.031366047745358054,0.8333333333333334,0.07142857142857142,4.30952380952381,15.438301801681519,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,10.0,0.908256880733945,15.004153200000001,german_real,43,EMDT-Iso
0.69,0.20073682858383746,0.05522076113630639,0.9666666666666667,0.02857142857142857,4.89047619047619,0.2726905345916748,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,43,MonoRF
0.7,0.2122306459748037,0.1165044537931681,0.7333333333333333,0.11428571428571428,3.895238095238095,0.0457463264465332,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,43,XGB-Mono
0.67,0.21120106548489803,0.10054911167363847,0.8,0.12857142857142856,4.257142857142857,0.02105259895324707,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,43,LGBM-Mono
0.69,0.20515268200631376,0.05170902969939127,0.9333333333333333,0.04285714285714286,4.752380952380952,0.005605220794677734,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,43,MonoScore
0.7,0.2094210498145829,0.11143699541687963,0.7333333333333333,0.11428571428571428,3.895238095238095,0.07613849639892578,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,43,XGB-Mono-Best
0.67,0.20749854309665705,0.10436915015495676,0.8,0.12857142857142856,4.257142857142857,0.024711132049560547,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,43,LGBM-Mono-Best
0.61,0.25608340427697895,0.14682834659880514,0.9666666666666667,0.14285714285714285,5.119047619047619,0.0012159347534179688,805,0.4025,0.1639353956565571,0.40729290846349586,0.9285714285714286,NA,,,,,german_real,44,CART
0.7,0.3,0.3,0.9666666666666667,0.014285714285714285,4.8619047619047615,15.426659345626831,0,0.0,0.0,0.0,0.0,FEASIBLE,109.0,1.0,0.9908256880733946,15.003871100000001,german_real,44,ODT
0.69,0.31,0.31000000000000005,0.9666666666666667,0.02857142857142857,4.89047619047619,15.554295778274536,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,15.0204789,german_real,44,EMDT
0.69,0.21362439732632033,0.03801282051282041,0.9666666666666667,0.02857142857142857,4.89047619047619,15.48250436782837,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,7.0,0.9369369369369369,15.005570400000002,german_real,44,EMDT-Iso
0.7,0.21032792618328566,0.09958000818273165,0.9666666666666667,0.014285714285714285,4.8619047619047615,0.28250598907470703,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,44,MonoRF
0.64,0.24873704292432744,0.1998365403711796,0.8666666666666667,0.14285714285714285,4.6190476190476195,0.053542375564575195,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,44,XGB-Mono
0.66,0.23955614983897194,0.16983851821500157,0.9,0.1,4.7,0.013261795043945312,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,44,LGBM-Mono
0.69,0.21216951102419096,0.09701921121529974,0.9666666666666667,0.02857142857142857,4.89047619047619,0.008046865463256836,0,0.0,0.0,0.0,0.0,NA,,,,,german_real,44,MonoScore
